artist,duration,genre,label,tags,title,album,date,likes,stream
Егор Крид,132023,,,,Мне всё Монро (при уч. HammAli & Navai),,2021-03-27T21:29:59Z,3028,207534
Егор Крид,125701,,,,Хуракан,,2021-03-27T21:28:09Z,3805,304256
Егор Крид,142028,,,,Барби (при уч. DAVA),,2021-03-27T21:24:28Z,739,68919
Егор Крид,139572,,,,Девочка с картинки,,2021-03-27T21:23:58Z,13672,954911
Егор Крид,177241,,,,Mr. & Mrs. Smith (при уч. Нюша),,2021-03-27T21:23:37Z,8575,585508
Егор Крид,180036,,,,Весёлая песня (при уч. MORGENSHTERN),,2021-03-27T21:22:57Z,5413,386941
Егор Крид,230661,,,,Самая самая,,2021-07-09T21:17:19Z,22746,1320691
Егор Крид,230583,,,,Закрой глаза,,2021-07-09T21:16:48Z,429,33020
Егор Крид,199602,,,,Запомни и запиши,,2021-07-09T21:16:23Z,241,19767
Егор Крид,202580,,,,Надо ли,,2021-07-09T21:15:28Z,14699,926621
Егор Крид,198113,,,,Ревность,,2021-07-09T21:14:46Z,340,27182
Егор Крид,178782,,,,Не мы,,2021-07-09T21:14:28Z,501,34561
Егор Крид,218384,,,,"Только ты, только я",,2021-07-09T21:13:16Z,417,30019
Егор Крид,160784,,,,Ей наплевать,,2021-07-09T21:12:12Z,121,12864
Егор Крид,206263,,,,Невеста,,2021-07-09T21:11:20Z,11555,671085
Егор Крид,200777,,,,Не вынести,,2021-07-09T21:10:54Z,345,25080
Егор Крид,166922,,,,Тишина,,2021-07-09T21:09:30Z,942,53820
Егор Крид,187585,,,,Мы просто любили так,,2021-07-09T21:09:02Z,303,22590
Егор Крид,192078,,,,Берегу,,2021-07-09T21:08:40Z,9334,578245
Егор Крид,160601,,,,Папина дочка,,2021-07-09T21:08:18Z,3657,233920
Егор Крид,167419,,,,Холостяк,,2021-07-09T21:07:59Z,2683,186008
Егор Крид,201326,,,,Я останусь (при уч. Arina Kuzmina),,2021-07-09T21:33:25Z,155,15659
Егор Крид,184424,,,,Вдаль,,2021-07-09T21:31:43Z,70,8690
Егор Крид,238080,,,,You're my galaxy,,2021-07-09T21:31:13Z,84,8675
Егор Крид,195500,,,,Важно,,2021-07-09T21:30:33Z,81,7497
Егор Крид,174106,,,,Голос,,2021-03-27T21:37:18Z,24607,1674881
Егор Крид,196833,,,,Мне нравится,,2021-07-09T21:44:36Z,5079,302965
Егор Крид,146651,,,,(Не)идеальна,,2021-04-22T21:50:06Z,6996,481002
Егор Крид,122854,,,,Coco L'Eau (при уч. The Limba),,2021-03-27T21:36:35Z,1729,121926
Тимати vs Егор Крид,170109,Hip-hop & Rap,,,Звездопад,,2020-10-16T10:51:30Z,10079,950746
Егор Крид,216660,,,,В книге всё было по-другому (4 раунд 17ib),,2021-07-09T22:28:54Z,587,40367
Егор Крид,172330,,,,Пропорция Уязвимости (6 Раунд 17ib),,2020-08-30T14:49:16Z,608,73846
Егор Крид,83879,,,,Ветер перемен (2 раунд 17ib),,2021-07-09T22:25:56Z,430,34926
Егор Крид,155951,,,,"Rolls Royce (Джиган, Тимати & Егор Крид)",,2021-07-09T22:46:44Z,440,27248
Егор Крид,322220,,,,"На чиле (Джиган, The Limba, blago white, OG Buda, Тимати, SODA LUV, Гуф & Егор Крид)",,2021-07-29T16:45:10Z,980,67719
Егор Крид,221127,,,,Гучи (при уч. Тимати),,2021-07-09T22:11:51Z,11215,781620
Егор Крид,177842,,,,Скоро весна (при уч. Николай Булаткин),,2021-08-27T08:38:58Z,799,64700
Егор Крид,182805,,,,Masked Wolf — Astronaut In The Ocean (Egor Kreed Remix),,2021-05-27T09:41:21Z,747,49155
Егор Крид,174158,,,,Сердцеедка,,2021-03-27T21:14:12Z,5584,377143
Егор Крид,191634,,,,Миллион алых роз,,2021-07-09T22:07:00Z,9871,631197
Егор Крид,155272,,,,Love is,,2021-03-27T21:21:22Z,4740,339909
Егор Крид,129463,Hip-hop & Rap,,ЕгорКрид,Дело Нескольких Минут (3 Раунд 17ib),,2020-08-30T14:43:42Z,71,6845
Егор Крид,104438,,,,Ты не смогла простить,,2021-03-27T21:36:50Z,5095,354212
Егор Крид,151092,,,,Карие глаза (при уч. Loc-Dog),,2021-07-09T22:56:43Z,1148,83937
Егор Крид,176562,,,,Голубые глаза,,2021-03-27T21:21:58Z,4956,335194
Егор Крид,49371,,,,В долгий путь (1 раунд 17ib),,2021-07-09T22:24:45Z,261,22973
Егор Крид,196650,,,,Время не пришло,,2021-07-09T22:20:19Z,3465,244306
Егор Крид,450795,,,,"Ракета (Тимати, Мот, Скруджи, HAZИМА, TERNOVOY & Егор Крид)",,2021-07-09T22:42:30Z,2060,153141
Егор Крид,212611,,,,Слеза,,2021-07-09T22:05:52Z,6023,378443
Егор Крид,189022,,,,Цвет настроения чёрный (при уч. Филипп Киркоров),,2021-07-09T22:13:41Z,619,40904
Егор Крид,195265,,,,Семья сказала,,2021-07-09T22:06:20Z,959,81569
Егор Крид,192627,,,,Будильник,,2021-07-09T21:42:26Z,17500,1019748
Егор Крид,336562,,,,"Над облаками (feat. Тимати, Мот, Скруджи, HAZИМА, Pabl.A & Егор Крид)",,2021-07-09T22:45:08Z,142,13905
Егор Крид,200490,,,,Часики (при уч. Валерия),,2021-07-09T22:13:02Z,2451,164077
Егор Крид,124839,,,,Крутой,,2021-07-09T22:20:04Z,394,30778
Егор Крид,176823,,,,Грехи (при уч. Клава Кока),,2021-03-27T21:14:09Z,1606,113407
Егор Крид,193463,,,,Старлетка,,2021-07-09T20:58:15Z,516,38008
Егор Крид,138945,,,,Самый худший трек (при уч. Джарахов и Buster),,2021-09-24T05:22:10Z,2023,180040
Егор Крид,186593,,,,Мало так мало,,2021-07-09T21:46:18Z,3146,187537
Егор Крид,201770,,,,"Команда 2018 (DJ Smash, Полина Гагарина & Егор Крид)",,2021-07-09T22:05:14Z,226,13758
Егор Крид,245577,,,,Заведи мой пульс,,2021-07-09T20:59:50Z,155,8111
Егор Крид,192679,,,,Это моё,,2021-07-09T22:05:37Z,297,22649
Егор Крид,179383,,,,Скромным быть не в моде (ХАННА & Егор Крид),,2021-07-09T22:40:00Z,236,19883
SODA LUV,146834,,,,"Сайфер ft. OG Buda, Егор Крид & MAYOT",,2021-05-01T13:26:50Z,4555,353845
Егор Крид,187925,,,,Пазл,,2021-07-09T21:01:44Z,385,23208
Егор Крид,179148,,,,Будущий Бывший (при уч. TERNOVOY),,2021-07-09T22:08:25Z,798,62583
Егор Крид,168202,,,,"Холостяк (ЛСП, FEDUK & Егор Крид)",,2021-07-09T22:17:59Z,26932,2037631
Егор Крид,138449,,,,LAMBO URUS,,2021-10-14T18:59:20Z,28891,2247498
Егор Крид,50051,,,,LAMBO URUS (Bonus),,2021-10-15T16:08:11Z,1122,119319
Егор Крид,107860,,,,ГТА,,2021-11-05T03:41:11Z,1015,84981
Егор Крид,117734,,,,COSMOBOY (PUBG MOBILE Theme Song),,2021-11-24T21:19:02Z,1501,126287
Егор Крид,77244,,,,АКВАДИСКОТЕКА (only Egor Kreed),,2021-12-13T23:14:48Z,731,68737
Егор Крид,183562,,,,Отпускаю (при уч. МакSим),,2022-02-11T01:48:02Z,11657,787215
